id,scheme_name,origin,scout_type,country,city,min_affiliations,active,effective_from,effective_to,created_at,updated_at
1,Cabinet Destajo Base,cabinet,destajo,,,8,True,,,2026-05-16 00:50:24.589245,2026-05-16 00:50:24.589245
2,DEV QA Scheme Min 1,cabinet,destajo,,,1,True,,,2026-05-16 14:03:11.604524,2026-05-16 14:03:11.604524
